"","years","total.esc.obs","total.catch.obs","total.obs","total.esc.pred","total.catch.pred","total.pred","total.esc.pred.ac","total.catch.pred.ac","total.pred.ac"
"31",1993,11751231.2,39329982,51081213.2,11751544.0256,39329974.174,51081518.1996,11751544.0239751,39329974.1718121,51081518.1957872
"32",1994,15439399.3,33333134,48772533.3,15705780.201,33333128.924,49038909.125,15705780.2000567,33333128.921602,49038909.1216587
"33",1995,16554408.5,41854664,58409072.5,16552723.7021,41854655.81,58407379.5121,16552723.6991735,41854655.8125845,58407379.5117579
"34",1996,7686916.8,28549029,36235945.8,7664703.518,28549024.422,36213727.94,7664703.518401,28549024.4207338,36213727.9391348
"35",1997,6898925.2,11289915,18188840.2,6898735.7688,11289913.584,18188649.3528,6898735.76875296,11289913.5839235,18188649.3526764
"36",1998,8656351.3,9331290,17987641.3,8661070.3106,9331288.9998,17992359.3104,8661070.30964226,9331288.99933916,17992359.3089814
"37",1999,14697831.3,22302082,36999913.3,14697659.8777,22302080.129,36999740.0067,14697659.8768094,22302080.1298045,36999740.0066139
"38",2000,8184269.5,16962464,25146733.5,8184359.3612,16962461.829,25146821.1902,8184359.3611674,16962461.8290159,25146821.1901833
"39",2001,8207238.2,10199831,18407069.2,8214758.9993,10199830.1821,18414589.1814,8214758.99914666,10199830.1835221,18414589.1826687
"40",2002,6432433.3,8478167,14910600.3,6431694.1237,8478166.01581,14909860.13951,6431694.1244595,8478166.015,14909860.1394595
"41",2003,11432404.9,10860816,22293220.9,11344708.3239,10860815.059,22205523.3829,11344708.3236209,10860815.0585769,22205523.3821977
"42",2004,17138562.3,24359230,41497792.3,17080714.6495,24359226.165,41439940.8145,17080714.6508534,24359226.1672646,41439940.8181181
"43",2005,14674255,19109484,33783739,14666381.2581,19109481.542,33775862.8001,14666381.2574414,19109481.5426729,33775862.8001143
"44",2006,14125516,25098123,39223639,14127705.6123,25098119.174,39225824.7863,14127705.6114339,25098119.1740525,39225824.7854864
"45",2007,14715191,24413174,39128365,14706698.2573,24413171.175,39119869.4323,14706698.2578386,24413171.1748484,39119869.432687
"46",2008,12538930,25968255,38507185,12535565.2991,25968251.691,38503816.9901,12535565.3006671,25968251.69154,38503816.9922071
"47",2009,9234607,29265367,38499974,9233470.8624,29265361.975,38498832.8374,9233470.86210192,29265361.9678485,38498832.8299504
"48",2010,11408088,25870086,37278174,11406645.193,25870082.624,37276727.817,11406645.1908864,25870082.6230345,37276727.8139209
"49",2011,8263850,20354912,28618762,8260015.6055,20354909.391,28614924.9965,8260015.60482844,20354909.3905021,28614924.9953306
"50",2012,9245396,18930237,28175633,9232143.8785,18930234.335,28162378.2135,9232143.87795829,18930234.3343223,28162378.2122806
"51",2013,8598958,14423681,23022639,8617327.8903,14423679.637,23041007.5273,8617327.88982134,14423679.6378897,23041007.527711
"52",2014,11879773,26633993,38513766,11882508.6768,26633990.709,38516499.3858,11882508.6767851,26633990.7137015,38516499.3904866
"53",2015,22147976,34282421,56430397,22286584.7986,34282417.805,56569002.6036,22286584.7981063,34282417.8048378,56569002.6029441
"54",2016,13862437,35042917,48905354,13869235.4285,35042911.76,48912147.1885,13869235.4276457,35042911.7642974,48912147.1919431
"55",2017,18597860,35002294,53600154,18616756.436,35002290.072,53619046.508,18616756.4336883,35002290.0708767,53619046.504565
"56",2018,20502921,36581750,57084671,19117078.33,36581746.607,55698824.937,19117078.3307716,36581746.6114173,55698824.9421889
"57",2019,13029909,38385447,51415356,13067400.8779,38385442.183,51452843.0609,13067400.9070289,38385442.1780275,51452843.0850565
