"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1968","0","1.67466928530839e-09","6.41238370609952e-10","0","0","0","17089.6373117947","10303.8357493608","9.28776364104972e-10","0","0","13830.5911201883","4398.12120767834","138.14226809117","0","9.28776205757452e-10","2.48329347025873e-09","0","70896","45760.32765712","0.645457115452494"
"1969","0","0","4.56684320106212e-10","0","0","111.748077015185","4656.61452349209","5665.93754251184","0","0","326.892528686437","52715.6031992929","24480.3423089337","9.62393598612364e-08","0","1480.09709057707","2.15567515543229e-06","0","160380","89437.2352727616","0.557658282034927"
"1970","0","0","0","0","0","4.56685837751551e-10","3712.26020251051","2801.85070157885","0","0","206.116006799132","303598.251189948","2.00026481993393e-06","0","0","45118.1455187624","753.967740674447","0","735024","356190.591362274","0.484597225889595"
"1971","0","0","0","0","0","9.28776329245653e-10","193555.860734945","4.06536971361142e-07","0","0","0","576200.126328727","166445.630029571","1725.79544185326","0","85.3970804239195","967.420247487629","0","529752","938980.229863415","1.77249020270507"
"1972","0","0","1.18873468791039e-07","0","0","2.48338882032996e-09","2.17654211369073e-07","87568.0467521365","1.45225704167282e-09","0","5.30151849301745e-07","145693.364050052","39524.3123776597","0","0","1746.88102279937","2500.04776464122","0","79428","277032.651968159","3.48784625029157"
"1973","0","1.60539276515253e-07","4481.78537547565","1.45225704167282e-09","0","0","26133.7209430263","6775.75912224679","322.587055387568","0","0","21412.6464176097","37308.7183200928","0","0","6041.74221682849","2.58675101291205e-08","0","38988","102476.959450855","2.62842309046002"
"1974","0","9.17940543728843e-10","1.4447530689929e-09","0","0","0","10003.2828346581","8388.17085907638","4.59360289286603e-05","0","14033.3037257577","660312.151467335","65539.0910321781","0","0","1.14939039720441e-08","2.78852456444684e-09","0","61854","758275.999964958","12.2591263291777"
"1975","0","0","0","0","0","1089.43549533251","1565916.08518232","578816.974718528","0","0","5170.98545593112","1609872.71999127","366113.528203213","793.332399041408","5.74018342068969e-08","1515.95757081485","0","0","429336","4129289.01901652","9.61784946758836"
"1976","0","1672.7472554435","4.00946406995952e-06","0","0","3.925658927763e-09","2330850.02527289","1708047.33087111","8694.0532152363","0","61333.0558286883","1354975.28222605","342973.02836863","4.45280850400358e-09","0","0","1668.66990385594","0","356308","5810214.19294592","16.3067183250051"
"1977","0","2.38498507491523e-07","11027.453427622","0","0","793.156099624733","643781.289569164","1829796.8868718","5817.18093384051","0","0","231041.819539145","138990.968256886","1279.02925798137","0","4.452942553967e-09","4.28903047689484e-09","0","201520","2862527.78395631","14.2046833265002"
"1978","0","0","7197.96752628061","0","0","0","246493.480079331","336832.996221086","4514.67927255449","0","3175.90991147187","344172.788403323","253663.007991994","3.93167076243701e-09","0","4.28921848272034e-09","3.9286706547198e-09","0","82435","1196050.82940605","14.5090171578341"
"1979","0","0","4.45273455640667e-09","4.28892870426635e-09","0","23079.2363236875","3312562.92467293","787129.896963341","23157.5530677696","0","10435.2051998365","1673350.43375155","649847.474269212","4905.27530707234","0","3.92939132263382e-09","0","0","1706904","6484467.99955541","3.79896467496438"
"1980","0","0","5237.16675652893","0","0","1118.10909708847","1406093.85037973","2169443.03702753","14436.0298475591","0","35840.6784394898","3341654.38682792","1090696.38252024","1323.09889033357","0","117.92592692486","0","0","3335284","8065960.66571335","2.41837296785322"
"1981","0","240.702378802828","4925.09981329048","0","0","862.181886067175","1743516.45923971","3027765.18887862","3538.51737707396","0","6625.87042473107","2262110.61093465","929638.518815387","841.146231428337","0","176.370013577744","2.18870675638158e-09","0","1327699","7980240.66599335","6.01057970669056"
"1982","0","0","4888.0684495751","1156.64767927508","0","4614.06060100622","325299.943585293","681260.068007893","8569.24623914049","4.42234262447806e-09","266.367320892214","543461.106039562","789863.500718906","2660.91107925815","0","2.18856817722479e-09","4.42450011935369e-09","0","1185551","2362039.91972081","1.99235622906211"
"1983","0","0","12001.5494570998","728.928854800049","0","5.31553071052505e-09","733997.537056738","252539.430331796","2966.12960449769","0","3618.93501849264","563116.044874757","221197.803420219","4.70578010456471e-09","0","682.96161503495","4.7059776628348e-09","0","1001364","1790849.32023345","1.78840992909017"
"1984","0","1457.00679403483","9765.82480141236","4.42379531652324e-09","0","74.2714762929298","479745.080329209","605178.204972628","12418.2574105185","0","50525.1744956821","3869098.50185574","500724.915331406","3.86233279077029e-09","4.42767657725096e-09","4.70622927937474e-09","2286.91944417249","0","1270318","5531274.15691111","4.35424370662394"
"1985","271.373745147161","1892.3916443575","8789.37116054112","0","0","446.549199128056","646832.832826085","807943.52467315","2118.46754450029","0","1021.7558852508","878417.148331557","471027.661503153","5844.64583713397","0","3.86253335323863e-09","4.59018134248946e-09","0","1006407","2824605.72235001","2.80662368440404"
"1986","0","5098.22940059557","48379.4728870839","46.7360462912264","0","555.470089589856","459335.061610741","2680176.25785347","77841.6233676293","0","791.398689279038","1929188.86622643","1927048.56576242","17561.0225369769","0","1781.80309166567","5.10980758004643e-09","0","1015582","7147804.50756218","7.03813626823061"
"1987","0","5015.17936002642","7806.78462191803","4.5898597703994e-09","0","97.2975786641044","856924.364952182","1813025.2598016","13754.6153678384","0","11208.3839191712","2000107.28382451","2422838.74551641","39050.2314055559","0","1.78843710628606e-08","441.473087245973","0","686894","7170269.61943514","10.4386843085471"
"1988","0","569.043715742079","7716.4436328204","0","0","1793.1658143363","471134.458883392","796456.339376353","19281.7400233993","0","33294.9415739029","2018610.40737129","2183449.73748445","1267.65914136663","0","6052.23694371065","8077.7513593106","0","654412","5547703.92532007","8.47738721985549"
"1989","0","3615.08296256001","8154.8851342702","4.94530882667229e-09","0","5846.62627463958","928794.693274732","407226.429675788","10742.6452736204","0","13872.3306760336","2511159.68238477","1024738.37168514","872.586618440783","0","9.0144704761484e-09","4.84739685767031e-09","0","1713287","4915023.33396001","2.86876824137463"
"1990","0","0","10685.9701137555","1407.52417139509","0","973.747289794173","374323.057893027","788150.97088469","2496.34272380253","0","12554.3924145554","2005334.899056","662632.897645212","1554.12601325342","0","2.86047855979349e-07","0.00475665364181261","0","749478","3860113.93296242","5.15040325795076"
"1991","0","442.652537311782","263.741710422074","3.2321119425328e-09","0","6845.03334048125","2063920.29843061","3859572.84378391","19178.3933643856","0","420.605240664237","452659.138785543","276707.988163648","3838.91088788468","0","3.08448760666114e-05","1.52876640106342e-09","0","2482016","6683849.60627571","2.69291157118879"
"1992","0","4733.01840121926","59394.7401708542","1049.18636963179","0","6378.93586561084","322957.508384521","840412.867265847","691.402984787877","0","9215.20835822878","936783.594213249","941372.408727296","27520.0344366722","0","1.52995591772854e-09","1345.24171885309","0","2194927","3151854.14689677","1.435972197206"
"1993","0","1082.54668008407","2505.45916738987","0","0","1970.41153671917","408518.565147021","391601.848518636","29361.439565288","0","5038.16601164958","273558.669180962","244713.932515449","0","0","3.5354483579146e-09","417.798605854414","0","1413454","1358768.83692906","0.961310970805599"
"1994","0","0.0077264318375911","1014.07938109925","0","0","19416.0041929177","261088.983921539","522156.160441253","8365.80335988762","96.8846353509011","7837.52624483582","596341.189608897","168708.343302691","2368.39586581045","0","2.11829878225716e-09","95.9968617223049","0","1095068","1587489.37554244","1.44967196150599"
"1995","0","2859.93943288004","0","0.101384855369707","0","10270.7540088061","3805008.08012343","1735342.19925236","31437.9780130202","0","3.53061024105358e-09","130474.653142201","63052.1958994914","783.773405849803","0","1.24915843288924e-09","0.092429097984754","0","1321108","5779229.767092","4.37453241301392"
"1996","0","0","0","0","0","0","261181.102481683","1051309.35943515","1055.78939238758","140.316143615029","0","31815.7133614456","9016.90308617695","345.293348145893","0","0.323501841061775","6.0484048229231e-07","0.0509579889571989","692167","1354864.85170904","1.95742480024191"
"1997","0","0","0.472737382924894","0","0","0","283956.555830482","648427.696639116","11955.2454143958","0","2868.46956261964","1659197.49547401","419226.626973357","2116.46006949444","1.25561350717237e-09","1.60577418832685","3.7919920731664e-09","0","656641","3027750.62847505","4.61096798475126"
"1998","0","0","0","0","0","1237.83311156969","179221.752634434","302441.442120511","4403.25207848858","0","21.4356496769029","525114.172793031","235084.370702549","2.70979228031746e-09","0","464.989937440851","2.71613136242978e-09","0","924853","1247989.24902771","1.34939201043594"
"1999","0","0.0924290967280476","0","0","0","3674.33563979266","1256027.1645888","908182.914384368","4846.69411024042","0","24666.0891147024","1186025.31372827","289401.259149394","3195.77496115754","0","2.71555355881008e-09","0.391454709491844","0","1662042","3676020.02956053","2.2117491793592"
"2000","0","0","0.113161377330612","0","0","2250.46877031213","1867022.41092942","2343674.96501285","25218.8448094629","0","397.583746349418","44294.5054608865","74265.4690691378","3.30448110562117e-09","0","0.61898790715034","3.30406144378703e-09","0","638420","4357124.9799477","6.82485664601313"
"2001","0","0","0.125519598301479","409.874304543967","0","629.120068616115","399486.79067711","1438651.03272615","52221.8482092885","347.144864940809","2010.37486485251","130928.155444748","160201.960235541","502.464623800732","0","3.31105611763315e-09","3.32069859032605e-09","0","866368","2185388.89153919","2.5224718497673"
"2002","0","0","7697.00055211951","0","0","7748.72599073384","2072354.90830688","2169655.96525312","13096.4276891829","0","242.016820914257","305898.295725466","26191.3285258366","3.28743810219452e-09","0","8.15590542318858","0","0","905584","4602892.82476967","5.08278947592898"
"2003","0","17212.4292617597","0","753.697595810533","0","10943.3596949148","4706459.98764265","1533720.18592175","12804.7048920246","0","3.33327289161073e-09","35689.3445215234","61169.2516044675","3.13231007146438e-09","0","3.28571127845555e-09","0","0","790202","6378752.96113491","8.07230677869066"
"2004","0","0","521.836947286454","0","0","12639.2586809033","1320668.13695942","1595085.43939014","2922.06214746168","0","373.205013045277","1238897.474218","363217.074587623","2.57373109174664e-09","0","3.1354969952831e-09","2.5724219428603e-09","0","815104","4534324.48794389","5.56287846451973"
"2005","0","0","0","931.279178625644","0","650.513227906763","876767.415791239","2314997.22357162","6219.43741227372","0","1957.74028195189","1174695.34957014","888656.304584542","2702.8872394233","0","626.275028112573","2.87416624288175e-09","0","799612","5268204.42588583","6.58845093105886"
"2006","0","0","2988.5240809575","354.45038844608","0","66972.1807453113","1067355.85672791","1078795.71952619","7484.78181204087","3.12173080087074e-09","21816.8836754156","936280.317946398","223468.565995141","5.20928911108991e-09","0","0.496408422574478","0.0616330335742738","0","1003158","3405517.83893927","3.39479706979287"
"2007","0","0","2.5724219428603e-09","2.87454678690467e-09","0","41859.8148381786","1276256.06827303","931316.336129498","1860.16008699581","0","13522.1109057076","698521.097335859","180794.292530439","0.437292185991311","0","3.13293934373466e-09","3.30102033032766e-09","0","2599186","3144130.3173919","1.20965960781256"
"2008","0","0","2820.55431839685","1718.71185821393","0","7984.37052485817","1048304.21042148","1731455.95082133","798.150583235759","0","1657.27282446944","332686.143794265","39869.7689030638","0","0","3.30083751646109e-09","0","0","596332","3167295.13404932","5.31129493981427"
"2009","0","0","0","0","0","8835.25939194505","376793.380717979","317154.14517024","19.0927331973405","0","2522.61126054456","144327.854694687","132504.696460048","4.49875023131458e-09","0","0.0257101965699807","1139.51443449579","0","1364338","983296.580573339","0.720713328056053"
"2010","0","0","1095.34868836827","0","0","10058.6630802367","579112.848479799","790340.970667301","4.49875023131458e-09","0","6940.09274267751","441890.733715784","284097.127103261","0","0","4.4823477236514e-09","0.0431998645149697","0","830886","2113535.8276773","2.54371337063966"
"2011","0","948.980649654264","0.000407516882474757","0","0","64046.482651089","2739145.3162727","2088394.19572074","9702.30162721995","978.743443421821","41298.4094810376","1305195.39474397","498132.218901842","2741.73954082778","0","0.00327650893515017","265.270930023589","0","1029853","6750849.05764655","6.55515792802133"
"2012","0","0","0","0","0","104712.910478925","3482092.12424077","1592118.046144","4101.76331331723","0","5119.24615495555","649380.277947819","82767.5881738251","0","0","0","7.5752224433749e-09",NA,"695018",NA,NA
"2013","0","0","0","0","0","29919.222824823","3842832.34353187","1961645.33473126","2532.33415746191",NA,"946.442754051485","62361.4071803142","45313.5831317003",NA,"0","0",NA,NA,"898110",NA,NA
"2014","0","0","0","0",NA,"69922.7859701958","2742125.37698407","1839726.01294851",NA,NA,"0.0525031311527544","58436.8711798871",NA,NA,"0",NA,NA,NA,"640158",NA,NA
"2015","0","0","0",NA,NA,"14715.9502563852","1987954.9725766",NA,NA,NA,"6538.90653441208",NA,NA,NA,NA,NA,NA,NA,"1564638",NA,NA
"2016","0","0",NA,NA,NA,"54028.3798521197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1635270",NA,NA
"2017","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1186446",NA,NA
"2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1167792",NA,NA
"2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1547748",NA,NA
