 
Catch,0.000000036052333,0.000000722254493,0.000000922374522,0.000000945551282,0.000000065583578, 1034.9115,1712144.8118199999444186687469,2368193.478769999928772449493,5024.129084950000105891376734,0.000000065583578, 214.022148251999993817662471,321279.2808269999804906547070,87094.8145749999966938048601,2336.25780,0.000000036052333,100.102884,0.000000922374522,0.000000945551282,4497421.80946090817451477
Escapement,0.000000981482545,0.000000282797891,0.000000079037539,0.000000055439178,0.000000951414106,28174.2550, 670388.2738814059412106871605, 202928.615382950898492708802, 294.572691763138493570295395,0.000000951414106,5826.502356280587264336645603,125796.5220157682051649317145, 7463.0853816650515000219457, 136.97852,0.000000981482545, 39.195166,0.000000079037539,0.000000055439178,1041048.00034867424983531
Kvichak Set,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,    0.0000,      0.0000000000000000000000,      0.000000000000000000000,   0.000000000000000000000000,0.000000000000000,   0.000000000000000000000000,     0.0000000000000000000000,    0.0000000000000000000000,   0.00000,0.000000000000000,  0.000000,0.000000000000000,NA,      0.00000000000000000
ARSHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,      0.00000000000000000
NRSHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,      0.00000000000000000
Naknek Set,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,    0.0000,      0.0000000000000003950982,      0.000000000000003482969,   0.000000000000000009190698,0.000000000000000,   0.000000000000000002298472,     0.0000000000000001434857,    0.0000000000000002969579,   0.00000,0.000000000000000,  0.000000,0.000000000000000,NA,      0.00000000000000433
Offshore Catch,0.000000008297933,0.000000008196139,0.000000008166452,0.000000008163014,0.000000008293552,  238.1989,  19429.4072055973010719753802,  20967.338687722400209167972,  43.373677891432400599569519,0.000000008293552,  49.260096759328298787750100,  3645.8750047721700866532046,  771.1137166530929789587390,  20.16909,0.000000008297933,  1.135967,0.000000008166452,0.000000008163014,  45165.87235514412168413
Total,0.000001025832811,0.000001013248523,0.000001009578514,0.000001009153474,0.000001025291236,29447.3654,2401962.4929069997742772102356,2592089.432840669993311166763,5362.075454604570040828548372,0.000001025291236,6089.784601291919898358173668,450721.6778475400060415267944,95329.0136733180988812819123,2493.40540,0.000001025832811,140.434017,0.000001009578514,0.000001009153474,5583635.68216471932828426
Inshore Total,0.000001017534878,0.000001005052384,0.000001001412061,0.000001000990460,0.000001016997684,29209.1665,2382533.0857014022767543792725,2571122.094152947422116994858,5318.701776713137405749876052,0.000001016997684,6040.524504532591890892945230,447075.8028427678509615361691,94557.8999566650018095970154,2473.23632,0.000001017534878,139.298050,0.000001001412061,0.000001000990460,5538469.80980957485735416
 
Nushagak,0.1,0.2,0.3,0.4,0.5,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,Total
Catch,0.000000370257902,0.000000620629944,0.000000781214585,0.000000790282766,0.00000058105251, 957.0543,2994704.7770,4771938.446,10681.986450,0.00000058105251,0.000000370257902,121103.86600,54315.2013,0.000000790282766,0.000000370257902,0.000000620629944,0.000000781214585,0.000000790282766, 7953701.33
Escapement,0.000000629724371,0.000000379359378,0.000000218779257,0.000000209711331,0.00000041893570,1627.7314,1830510.0355,1336382.048, 2834.597554,0.00000041893570,0.000000629724371, 74024.60629,15210.9799,0.000000209711331,0.000000629724371,0.000000379359378,0.000000218779257,0.000000209711331, 3260590.00
Igushik Set,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.00000000000000,   0.0000,    411.4659,   3272.212,    8.311089,0.00000000000000,0.000000000000000,    33.79843,  164.4721,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,    3890.26
WRSHA,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.00000000000000,   0.0000,  32056.1192,   9779.799,    0.000000,0.00000000000000,0.000000000000000,   840.77988,  108.2822,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,   42784.98
Offshore Catch,0.000000008148422,0.000000008148479,0.000000008148516,0.000000008148518,0.00000000814847,  21.0623,  39583.1480,  49880.411,  110.208507,0.00000000814847,0.000000008148422,  1597.14389,  568.7613,0.000000008148518,0.000000008148422,0.000000008148479,0.000000008148516,0.000000008148518,   91760.73
Total,0.000001008130695,0.000001008137801,0.000001008142358,0.000001008142615,0.00000100813668,2605.8480,4897265.5456,6171252.916,13635.103600,0.00000100813668,0.000001008130695,197600.19449,70367.6968,0.000001008142615,0.000001008130695,0.000001008137801,0.000001008142358,0.000001008142615,11352727.30
