year,district,districtID,stream,subdistrict,number
2010,Egegik,322,100,Kvi Set,10424.11537
2010,Kvichak,324,100,Kvi Set,590298.5801
2010,Naknek,324,600,Kvi Set,180373.952
2010,Ugashik,321,100,Kvi Set,335.8438164
2010,Nushagak,325,300,WRSHA,1131093
2011,Nushagak,325,100,Igushik Set,367746
2011,Alagnak,324,500,Kvi Set,126464.4508
2011,Egegik,322,100,Kvi Set,6717.400215
2011,Kvichak,324,100,Kvi Set,380394.0831
2011,Naknek,324,600,Kvi Set,116234.7097
2011,Ugashik,321,100,Kvi Set,135.7237647
2012,Nushagak,325,100,Igushik Set,177039
2012,Alagnak,324,500,Kvi Set,158985.8585
2012,Egegik,322,100,Kvi Set,8444.836732
2012,Kvichak,324,100,Kvi Set,478215.6523
2012,Naknek,324,600,Kvi Set,146125.4525
2012,Ugashik,321,100,Kvi Set,816.7285847
2012,Nushagak,325,300,WRSHA,268264
2013,Nushagak,325,100,Igushik Set,150777
2013,Alagnak,324,500,Kvi Set,77068.33849
2013,Egegik,322,100,Kvi Set,4093.63161
2013,Kvichak,324,100,Kvi Set,231814.8678
2013,Naknek,324,600,Kvi Set,70834.26126
2013,Ugashik,321,100,Kvi Set,54.84633806
2014,Nushagak,325,100,Igushik Set,459827
2014,Alagnak,324,500,Kvi Set,208311.3662
2014,Egegik,322,100,Kvi Set,11064.85504
2014,Kvichak,324,100,Kvi Set,626582.4951
2014,Naknek,324,600,Kvi Set,191461.0075
2014,Ugashik,321,100,Kvi Set,904.1254777
2014,Nushagak,325,300,WRSHA,245713
2015,Nushagak,325,100,Igushik Set,589713
2015,Alagnak,324,500,Kvi Set,267582.8629
2015,Egegik,322,100,Kvi Set,554.9285395
2015,Kvichak,324,100,Kvi Set,763320.9436
2015,Naknek,324,600,Kvi Set,177886.3052
2015,Ugashik,321,100,Kvi Set,123.1825524
2017,Nushagak,325,100,Igushik Set,462408
2018,Ugashik,321,100,Kvi Set,494.393646
2018,Egegik,322,100,Kvi Set,1794.61298
2018,Naknek,324,600,Kvi Set,105965.022
2018,Alagnak,324,500,Kvi Set,91686.83411
2018,Kvichak,324,100,Kvi Set,404242.0825
2018,Nushagak,325,700,Igushik Set,3385.414619
2018,Wood,325,300,Igushik Set,39180.33477
2018,Igushik,325,100,Igushik Set,537889.2249
2018,Ugashik,321,100,Nak Set,168058.8971
2018,Egegik,322,100,Nak Set,147835.6952
2018,Naknek,324,600,Nak Set,317787.4505
2018,Alagnak,324,500,Nak Set,30731.43078
2018,Kvichak,324,100,Nak Set,170880.2269
2018,Ugashik,321,100,NRSHA,131.1216646
2018,Egegik,322,100,NRSHA,10869.33191
2018,Naknek,324,600,NRSHA,1386904.453
2018,Alagnak,324,500,NRSHA,22924.94996
2018,Kvichak,324,100,NRSHA,166976.6425
2018,Nushagak,325,700,WRSHA,63552.14792
2018,Wood,325,300,WRSHA,781665.4816
2018,Igushik,325,100,WRSHA,2870.154098
2016,Ugashik,321,100,Kvi Set,187.566959
2016,Egegik,322,100,Kvi Set,336.3073716
2016,Naknek,324,600,Kvi Set,126489.894
2016,Alagnak,324,500,Kvi Set,195991.6471
2016,Kvichak,324,100,Kvi Set,737382.1972
2016,Nushagak,325,700,Igushik Set,4842.190753
2016,Wood,325,300,Igushik Set,56040.00575
2016,Igushik,325,100,Igushik Set,769348.0781
2017,Ugashik,321,100,Kvi Set,168.7461183
2017,Egegik,322,100,Kvi Set,303.1896706
2017,Naknek,324,600,Kvi Set,214940.0312
2017,Alagnak,324,500,Kvi Set,249361.5282
2017,Kvichak,324,100,Kvi Set,555549.6115
2017,Nushagak,325,700,WRSHA,35546.31141
2017,Wood,325,300,WRSHA,436766.2709
2017,Igushik,325,100,WRSHA,1605.926701
2019,Ugashik,321,100,Kvi Set,822.7288565
2019,Egegik,322,100,Kvi Set,7474.537995
2019,Naknek,324,600,Kvi Set,181581.7648
2019,Alagnak,324,500,Kvi Set,186940.7663
2019,Kvichak,324,100,Kvi Set,851247.202
2019,Nushagak,325,700,Igushik Set,2457.441738
2019,Wood,325,300,Igushik Set,28440.64945
2019,Igushik,325,100,Igushik Set,390448.9088
2019,Ugashik,321,100,Nak Set,362.4591423
2019,Egegik,322,100,Nak Set,3377.361186
2019,Naknek,324,600,Nak Set,1161355.119
2019,Alagnak,324,500,Nak Set,89174.64767
2019,Kvichak,324,100,Nak Set,383871.4128
2019,Ugashik,321,100,NRSHA,15.17251124
2019,Egegik,322,100,NRSHA,883.6697146
2019,Naknek,324,600,NRSHA,83342.49397
2019,Alagnak,324,500,NRSHA,5017.71587
2019,Kvichak,324,100,NRSHA,9120.947937
2019,Nushagak,325,700,WRSHA,18403.78618
2019,Wood,325,300,WRSHA,226359.0585
2019,Igushik,325,100,WRSHA,831.1553397
2020,Ugashik,321,100,Kvi Set,3.44E-14
2020,Egegik,322,100,Kvi Set,0
2020,Naknek,324,600,Kvi Set,112423.8776
2020,Alagnak,324,500,Kvi Set,238016.2957
2020,Kvichak,324,100,Kvi Set,735775.8266
2020,Nushagak,325,700,Igushik Set,2422.490962
2020,Wood,325,300,Igushik Set,24031.08868
2020,Igushik,325,100,Igushik Set,310194.4204
2020,Ugashik,321,100,Nak Set,7.44E-15
2020,Egegik,322,100,Nak Set,4.46E-14
2020,Naknek,324,600,Nak Set,1079407.943
2020,Alagnak,324,500,Nak Set,104803.6415
2020,Kvichak,324,100,Nak Set,337006.4159
2020,Nushagak,325,700,WRSHA,16946.09024
2020,Wood,325,300,WRSHA,210724.5389
2020,Igushik,325,100,WRSHA,478.3708253
2021,Ugashik,321,100,Kvi Set,0
2021,Egegik,322,100,Kvi Set,0
2021,Naknek,324,600,Kvi Set,173464.4813
2021,Alagnak,324,500,Kvi Set,321415.181
2021,Kvichak,324,100,Kvi Set,676644.3377
2021,Nushagak,325,700,Igushik Set,3104.546643
2021,Wood,325,300,Igushik Set,35929.77007
2021,Igushik,325,100,Igushik Set,493263.6835
2021,Ugashik,321,100,Nak Set,4.06E-14
2021,Egegik,322,100,Nak Set,0
2021,Naknek,324,600,Nak Set,943801.6674
2021,Alagnak,324,500,Nak Set,107373.8259
2021,Kvichak,324,100,Nak Set,38234.50675
2021,Nushagak,325,700,WRSHA,45287.00923
2021,Wood,325,300,WRSHA,557011.7303
2021,Igushik,325,100,WRSHA,2045.260458
2022,Ugashik,321,100,Kvi Set,3.00626E-14
2022,Egegik,322,100,Kvi Set,0
2022,Naknek,324,600,Kvi Set,486926.0005
2022,Alagnak,324,500,Kvi Set,325177.2573
2022,Kvichak,324,100,Kvi Set,840200.7422
2022,Nushagak,325,700,Igushik Set,2801.258594
2022,Wood,325,300,Igushik Set,32419.73638
2022,Igushik,325,100,Igushik Set,445076.005
2022,Ugashik,321,100,Nak Set,27232.97383
2022,Egegik,322,100,Nak Set,92458.74202
2022,Naknek,324,600,Nak Set,762362.7886
2022,Alagnak,324,500,Nak Set,229372.3361
2022,Kvichak,324,100,Nak Set,721976.1595
2022,Nushagak,325,700,WRSHA,51767.00876
2022,Wood,325,300,WRSHA,636713.0798
2022,Igushik,325,100,WRSHA,2337.911419
