"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1968","0","2.5714299467464e-08","1.31945606327401e-09","7853.86379608574","0","7.45608196401704e-08","35190.1466128597","293844.575409648","2760.40446788406","0","0","3.75632791667341e-09","4530.4813349625","0","0","0","0","0","142360.4153","344179.471621545","2.41766273929622"
"1969","0","0","97506.8810194013","5025.87323738225","0","0","4814.98787861668","66889.0585368387","4045.32072590585","0","0","36821.1287551858","278589.140411939","0","0","0","0","0","95805.0467","493692.39056527","5.15309378337028"
"1970","0","2653.71836140932","3369.78261572173","1.03634744445765e-08","0","0","127285.038822224","12168.9357351165","3442.495114493","0","486.230509462073","745792.847957961","93564.5785637221","0","0","0","0","0","452891.7581","988763.627680121","2.18322283414528"
"1971","0","1210.67305375856","9601.37145104713","0","0","3816.14181994693","0.985516489448215","807916.233670052","2596.4900809137","0","0.757645511168111","28354.8229357604","157501.435867489","0","0","0","0","0","312699.1781","1010998.91204097","3.23313581501533"
"1972","0","3598.43890147059","75229.3131950221","887.015611742288","128.14740443789","0.00411505140000129","71034.1837502203","863254.686828519","7.44600466825118e-06","0","0","46130.0749290615","87718.0445293384","0","0","0","0","0","39850.56376","1147979.90927231","28.8071184183495"
"1973","0","4045.62272461216","25301.7215071814","1815.77618917553","0","0","0.00657508166448096","1231778.49619891","12061.6407165784","0","0","61562.1412000931","43018.8672895066","0","0","604.912084759761","0","0","210600.7728","1380189.1844859","6.55358081613791"
"1974","0","1111.57367406135","3.2799491765069e-08","1.21585361887587e-08","0","0","4.7053893377783e-06","69.6366241857652","7.64943935123092e-09","0","2.27270790944936e-07","347527.833855794","34913.7490628905","0","0","0","0","0","204190.1742","383622.793221916","1.87875246556265"
"1975","0","15231.3336721392","16604.0741026542","13547.7779884143","0","33597.7301883004","622880.05626241","4934293.18419978","95362.8937858531","0","0","154757.080823384","108874.70253407","0","0","0","0","0","832092.6013","5995148.83355701","7.20490582921977"
"1976","0","6032.60467756801","62380.8344123591","9.75838012187993e-09","2595.98894958654","0","190046.542386955","3422922.56150981","57970.4165934087","0","3.82465594221543e-09","203259.642114185","406715.382633708","4.28498874291773e-08","0","0","0","0","520302.5868","4351923.97327764","8.36421744516615"
"1977","0","0","16136.1622511056","63770.3176394488","0","3.05972475377234e-09","21273.9792365081","3028330.45357446","92537.4152047672","0","7963.62566408149","2.90340655514435e-09","6076.61251557324","0","0","4.04075740410298e-09","0","0","611588.3606","3236088.56608596","5.2912854046326"
"1978","0","1.15880763941388e-08","345825.411301185","133718.047727785","0","0","89106.4176431423","933191.771299763","4.54544744430436e-08","0","0","11883.0628468104","3.74406882993933e-09","0","0","0","0","0","734040.0845","1513724.71081875","2.0621826284185"
"1979","0","72863.2049650124","529083.819648471","1.35704662828151e-07","0","9.68270931008743e-10","430996.667258683","767683.427626758","45525.5038700406","0","0","2.64660711400162e-09","5.61533459673433e-09","0","0","0","0","0","551271.6622","1846152.62336911","3.34889810225603"
"1980","0","22436.2069590502","523064.779439511","34504.4839765543","0","0","19768.34400461","312947.335906828","8819.91913053572","0","0","167393.190781693","121331.438567855","6.68644213363287e-09","0","0","0","0","3669136.414","1210265.69876664","0.329850286881878"
"1981","0","30303.8835998973","101602.148820468","8931.03686106147","0","0","250006.004236372","1576924.65664309","5804.33139481424","0","0","2611.8873910791","4.61320123559136e-07","572.75570291166","0","0","0","0","1118872.875","1976756.70465016","1.76673932206119"
"1982","0","82470.0296336754","420279.408315352","34030.6013980189","0","1194.6158651292","125109.028118001","594091.303099712","71345.3274444259","0","0","1.73804769461259e-07","6628.18566532267","0","0","0","0","0","664579.7666","1335148.49953981","2.00901165915786"
"1983","0","115054.711935882","502453.47950264","111519.902338948","0","275.840543219469","233673.059310938","543194.450703628","17209.8301304073","0","0","5890.14117376119","19466.5013185819","0","0","0","0","0","446845.0461","1548737.91695801","3.46593954766909"
"1984","8.90187842235939e-08","10147.1559370988","218564.409449476","26533.2433224767","0","1.55128756194565e-05","46770.5412210206","432522.59171639","20857.6808012175","0","0","3961.82012938278","1889.90831878611","0","0","0","0","0","655739.2017","761247.350911451","1.16089956027933"
"1985","0","85590.5135228253","533284.555659323","63475.4929572769","0","0","63478.0956455417","638819.125362922","18463.5061369168","0","0","2858.39739710762","10900.23944139","6.60074031248278e-09","0","0","0","0","551319.2218","1416869.92612331","2.56996286379673"
"1986","0","94281.4228582066","803990.206117516","54040.4706513052","0","0","98020.4532820955","791155.337996986","200173.728419799","0","0","2.42536906225103e-09","50092.4590511316","819.518466962662","0","0","0","0","1095241.259","2092573.596844","1.91060515630557"
"1987","0","174614.990794573","667893.303065515","217691.062776329","0","0","32993.8193841774","660534.688197484","122521.50793225","0","0","15735.1581001703","11516.8172206779","1954.92616446782","0","0","0","0","429181.6128","1905456.27363564","4.43974349507744"
