"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1970","0","0","9.73246611415943e-09","0","0","4048.14629976765","1389176.22970439","1023154.27380561","4.44478273582699e-09","0","4462.9312559224","179810.870663762","50142.4774075797","0","0","0","0","0","1161964","2650794.92913705","2.28130555605599"
"1971","0","2470.57202223461","19078.6674831166","0","0","1698.68955460344","444684.373978779","646251.724804463","4.84305720046108e-09","0","0","203802.110181004","111545.345496144","0","0","0","0","0","851202","1429531.48352035","1.67942683818923"
"1972","0","1696.14557276792","11270.1265133331","4.50516948869791e-09","8.50916716833492e-07","1708.27285007551","805775.577019593","424384.475152342","34945.5873167877","0","0","41969.8894686025","22044.1068980182","0","0","0","0","0","430602","1343794.18079238","3.12073371882243"
"1973","0","647.942413535375","1265.3885889176","1.56671973831914e-08","0","1250.17286243658","234076.548809231","1155997.6555839","6.79722743517089e-09","0","0","44786.2151684014","25000.756111972","0","0","6.43947862335235e-09","0","0","330474","1463024.67953842","4.42704926722957"
"1974","0","4.27991101483774e-09","12437.2644373738","0","0","2417.13076174191","3408974.51830652","1925660.79839182","8342.40018667725","0","4264.2506075743","437633.328120455","100329.488969923","0","0","0","0","0","1708836","5900059.1797821","3.45267724918137"
"1975","0","6.87904018827237e-09","7.15497624762091e-09","0","0","30717.1408635338","1797059.80460316","2812513.17886786","7878.4259017991","0","0","549327.998962257","1099261.80544637","0","0","0","0","0","1270116","6296758.354645","4.95762462219593"
"1976","0","6.43947862335235e-09","4.59462610381612e-09","0","7.29068249992849e-06","1967.90655163259","2655591.9798842","3016170.84977383","9263.29256069719","0","4016.50406860932","618568.209840226","291864.366628526","3351.49439311603","0","0","0","0","817008","6600794.60370815","8.07922884929908"
"1977","0","0","6.10980049237289e-09","5.34057112748343e-09","0","19319.1938187379","1277807.42612039","2454239.05272504","8.01094391660327e-08","0","4.27686034498473e-09","56118.5662557334","27036.9160565462","0","0","1969.81577158489","0","0","561828","3836490.97074813","6.82858627684653"
"1978","0","0","7.76868367710796e-09","1.57791319564683e-08","0","0","1279198.80947119","689182.12006998","13291.6499623591","0","2804.6663201772","1025888.64789584","113223.727298342","0","0","0","0","0","2267238","3123589.62101791","1.37770698136583"
"1979","0","3.3983596044159e-09","6.06971190036472e-09","10447.9064589513","0","16349.8888733316","2362321.52251097","1709454.27035828","1419.84514230188","0","0","31629.4687230211","25426.8143250733","0","0","0","0","0","1706352","4157049.71639194","2.43622049635242"
"1980","0","4.45136061086116e-09","7.23056057546544e-09","4.93585797147618e-09","0","0","472354.365146408","811149.467106467","1486.73472713842","0","0","72560.9120810834","114767.262631112","0","0","0","0","0","2969040","1472318.74169223","0.495890503897632"
"1981","0","3.28174361806815e-09","4.76570573758278e-09","2311.4133473144","0","0","614152.858341062","1383733.10869951","0.0394346721250417","0","0","69820.7694583113","162931.678662236","0","0","0","0","0","1233318","2232949.86794311","1.81052240212428"
"1982","0","3.74445017807187e-09","5.47708586769791e-09","0.263378193466317","0","3629.03217667386","533433.229926921","1389359.29319894","12838.5818851299","0","0","125819.095409201","21615.1803420571","0","0","0","0","0","976470","2086694.67631712","2.13697776308245"
"1983","0","2.735972956457e-09","1042.00729156126","9.8112472362295e-09","0","1359.35214572168","1840623.53798168","1355204.32112291","2818.28713690889","0","0","15134.0460202442","113665.33742105","0","0","0","0","0","1360968","3329846.88912009","2.44667537305807"
"1984","155.04272861528","4.6554158228156e-09","7.21931397162364e-09","1241.5169886507","0","382.081457377814","587481.991466855","1499207.88086572","16115.1452733988","0","0","80690.1577718235","34564.3135986132","0","0","0","0","0","1002792","2219838.13015107","2.21365759813707"
"1985","0","8953.058910115","16159.6822265614","562.872129495158","0","1456.47212184739","1381013.91461242","1822933.02191642","3607.17917939271","0","0","44478.6232742965","24733.2830107912","843.927746377033","0","0","0","0","939000","3304742.03512772","3.51942708746296"
"1986","0","3188.0149405237","31952.6505992194","1261.56585753943","0","2186.95857113245","1226111.71638694","2761994.96112944","20905.0008938837","0","0","52727.5148385861","78228.648133402","0","0","0","0","0","818652","4178557.03135066","5.10419205150743"
"1987","0","18998.7997815886","74980.1572337223","16975.3278605378","0","0","1581045.31135032","992047.589586313","6781.4684814867","0","148.518252745813","87987.7674922815","121210.234165899","3.99486228980218e-08","0","0","0","0","1337172","2900175.17420493","2.16888715453579"
"1988","0","7728.29653216022","18885.8083048073","4370.99699253701","0","1124.47787026293","1852254.52964744","1936668.03275887","12683.6653965293","0","0","90179.4830139241","57227.7272429188","949.248951630885","0","0","0","0","866778","3982072.26671109","4.59410860302302"
"1989","0","2351.40962698224","19854.6926549936","5.48887582903152e-08","0","4113.80886890119","2565268.53494958","2444121.10317074","2447.63165483201","0","0","23870.2615179319","46766.2197290674","0","0","0","0","0","1186410","5108793.66217308","4.30609457284841"
"1990","0","5654.60589516771","23371.7626684906","5428.37257387313","0","1443.11401130168","1122590.36519816","1824774.52401866","4646.23289984469","911.802089076461","1436.7080472448","301477.000423778","264646.933600304","8.71648876952721e-09","0","0","619.848829450417","0","1069440","3557001.27025536","3.32604098430521"
"1991","0","3.60135086419289e-09","8274.51759209594","1.0495295939913e-08","0","12310.3556625823","2740316.38678907","3168915.44278417","65073.5611794891","0","0","51097.4385157464","66716.2437736739","132.211495894761","0","0","0","0","1159920","6112836.15779274","5.27004979463475"
"1992","0","8956.30304334811","77689.8088926677","6093.25514603077","0","1295.77056237379","2381848.54224654","1933245.51602106","6.14171649714395e-09","0","0","85330.7960414854","45466.6799878106","1182.17026025813","0","770.480198156936","0","0","1286250","4541879.32239974","3.5311015140134"
"1993","0","13410.70235759","1682.65293330265","4112.96501189874","0","0","1711745.57175206","1234408.07084259","2588.69686189395","0","0","138712.041051957","163495.972941081","0","0","0","0","0","1176126","3270156.67375237","2.78044756578153"
"1994","0","0","6.84829965530612e-08","0","0","10901.1826440699","2993345.70209679","2384237.40039092","2878.47912553306","0","489.822647951795","400210.787098862","99269.593299345","0","0","0","0","0","1471890","5891332.96730354","4.00256334869015"
"1995","0","418.911045414215","0","0","0","7343.0186284406","4454047.94549201","3222071.59793419","9323.2812851405","0","0","117579.961543841","40760.5734747058","0","0","0","0","0","1482162","7851545.28940375","5.2973597281564"
"1996","0","0","0","0","0","0","3109453.6399272","4385743.29287482","21350.1455462826","0","0","2901.77159420118","17336.7852488659","0","0","0","0","0","1649598","7536785.63519136","4.5688620107392"
"1997","0","0","0","0","0","0","204708.416054063","584897.24400368","25548.8133450086","8.68319211746763e-09","0","194993.145625552","227873.449075896","181.211614649699","0","0","28.5157487968243","0","1512396","1238230.79546765","0.818721284285104"
"1998","0","0","749.52314982648","0","0","2777.73424786892","3040778.01290886","3538387.61250856","5317.35958805063","0","900.711474886479","148130.056662409","134922.911150275","314.580924304579","0","0","0","0","1755768","6872278.50261504","3.91411536297224"
"1999","0","1095.45691128485","0","0","0","725.832605767066","2293453.8086399","2610429.1320568","8222.76814574737","0","448.146232640063","400013.482518833","309660.243200117","0","0","0","0","35.2529177120698","1512426","5624084.1232288","3.7185846601611"
"2000","0","0","0","0","0","4300.15694312409","3281875.08561148","3231618.35481858","60815.9845103296","2.60395105900167e-06","0","112801.037598782","550572.983793439","5.52337781782073e-09","0","0","0","0","1300026","7241983.60327835","5.57064520500232"
"2001","0","0","0","2.38752394159299e-08","0","0","2177286.95536035","5498623.0179345","13540.3800793265","0","0","562991.07545755","62105.9975147241","0","1357.86626060062","0","0","0","1458732","8315905.29260708","5.70077662833686"
"2002","0","0","27870.162038625","0","0","44406.7473388831","5940332.54672158","2123186.82859535","1.71095692230995e-08","0","0","236781.357598477","41874.1647214972","0","0","0","0","0","1283682","8414451.80701442","6.5549347946099"
"2003","0","4.42111894202824e-09","0","5.13287076797403e-09","0","4141.87399369037","5355602.92615503","2812826.30534097","49786.4711781207","0","0","37775.3185513996","87086.1275909994","0","0","0","0","0","1459782","8347219.02281022","5.71812710583513"
"2004","0","0","1.02657383094105e-08","0","0","10795.2722532084","3916390.58442913","3870009.73416438","23509.4548710863","0","0","112938.633538762","137300.190911885","0","0","0","0","0","1543392","8070943.87016846","5.22935448037081"
"2005","0","6.84386403255214e-09","0","1713.69490453745","0","2.05314096800259e-08","2517308.71479749","3861457.13998126","9709.92830957306","0","0","235955.543992257","95583.1315026516","297.143725280708","0","0","0","0","1496550","6722025.29721308","4.49168106459061"
"2006","0","0","405.263986572087","2359.65040962645","0","40702.3504787708","4547522.18539454","3192336.05515651","16198.7703571409","0","2334.46717125685","186091.059926159","53004.481010302","0","0","0","0","0","4008102","8040954.28389088","2.00617506338184"
"2007","0","106.866866492686","4.13610736160184e-09","7.97909683544962e-09","0","2506.58201794225","1468675.92668253","1146330.68551778","1277.22660765585","0","0","175645.013879968","34655.6710041564","0","0","0","0","0","1528086","2829197.97257653","1.85146514828127"
"2008","0","687.988332470739","7.0729684752886e-06","0","0","2.27109843315082e-07","1308362.19899497","1779109.28829221","20579.0297608827","0","0","47870.9956981725","67137.716935852","1026.49215450172","0","0","0","0","1724676","3224773.71017636","1.86978522932792"
"2009","0","3.98955031447357e-09","2.92119380481529e-09","7.83005922709305e-09","0","1792.16518994048","1384863.69347578","2056464.37334399","8.06870890623955e-09","0","1629.35672297988","209004.30155435","68029.3803969237","552.856241466139","0","0","0","0","1319232","3722336.12692545","2.82159326557077"
"2010","0","0","6298.70180516264","0","0","41882.3555477994","4796595.53681505","1989582.53482856","13538.8223496599","3884.0085440753","1237.26747834141","214895.781056782","58446.8211699329","0","0","0","0","0","1804344","7126361.82959536","3.94955830462227"
"2011","0","0","9.01806891794744e-09","1229.76629127023","0","10409.1735933168","2667129.60986785","2860978.1059539","1099.60312980988","0","2946.61296949937","105726.32765868","1099.6031298384","0","0","0","912.78851773689","0","1098006","5651531.59111191","5.14708625555044"
"2012","0","0","4176.39809363871","0","0","77234.6324973235","3134783.32846848","1384727.92105157","7.27581319704556e-09","0","0","56396.2620884415","3.0922107024415e-08","0","0","0","0",NA,"764211",NA,NA
"2013","0","0","0","0","0","207913.721490995","9680920.45268701","2369297.43865048","74.8865154081725",NA,"0","57534.259574775","52020.9502735091",NA,"0","0",NA,NA,"1183348",NA,NA
"2014","0","0","3135.78096973932","0",NA,"163380.184490584","20252613.699506","3789856.8370733",NA,NA,"3536.32438343716","340882.513568075",NA,NA,"0",NA,NA,NA,"2764614",NA,NA
"2015","0","0","0",NA,NA,"3.63791435937063e-09","8063538.63681693",NA,NA,NA,"4769.97648016314",NA,NA,NA,NA,NA,NA,NA,"1941474",NA,NA
"2016","0","0",NA,NA,NA,"87499.9835736269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1309707",NA,NA
"2017","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4274224",NA,NA
"2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7507254",NA,NA
"2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2073276",NA,NA
