DistrictID,District,Year,Type,SumOfTotal
325,Nushagak,2009,Catch,7415689
325,Nushagak,2010,Catch,6893187
325,Nushagak,2011,Catch,4518806
321,Ugashik,2012,Catch,2418596
322,Egegik,2012,Catch,4998273
324,Naknek_Kvichak,2012,Catch,9296022
325,Nushagak,2012,Catch,2217346
321,Ugashik,2013,Catch,2168190
322,Egegik,2013,Catch,4778479
324,Naknek_Kvichak,2013,Catch,4464741
325,Nushagak,2013,Catch,3012271
321,Ugashik,2014,Catch,1472367
322,Egegik,2014,Catch,6944923
324,Naknek_Kvichak,2014,Catch,12684537
325,Nushagak,2014,Catch,5532166
321,Ugashik,2015,Catch,5473786
322,Egegik,2015,Catch,8470567
324,Naknek_Kvichak,2015,Catch,15341998
325,Nushagak,2015,Catch,4996070
321,Ugashik,2016,Catch,6631116
322,Egegik,2016,Catch,8740030
324,Naknek_Kvichak,2016,Catch,12403630
325,Nushagak,2016,Catch,7268141
321,Ugashik,2017,Catch,5706751
322,Egegik,2017,Catch,11981519
324,Naknek_Kvichak,2017,Catch,5925905
325,Nushagak,2017,Catch,11388119
321,Ugashik,2018,Catch,2772643
322,Egegik,2018,Catch,5151129
324,Naknek_Kvichak,2018,Catch,5864217
325,Nushagak,2018,Catch,22790385
321,Ugashik,2019,Catch,1038188
322,Egegik,2019,Catch,14687147
324,Naknek_Kvichak,2019,Catch,8565053
325,Nushagak,2019,Catch,14101488
321,Ugashik,2020,Catch,2622792
322,Egegik,2020,Catch,13423661
324,Naknek_Kvichak,2020,Catch,11707775
325,Nushagak,2020,Catch,8428885
321,Ugashik,2021,Catch,5205876
322,Egegik,2021,Catch,8553483
324,Naknek_Kvichak,2021,Catch,6997084
325,Nushagak,2021,Catch,17149165
