"","Escapement","District Catches","EscapementObsError","OffshoreCatch","Extra Catches","Total Esc","Total Catch no Offshore","Total Catch","Run Size","Run Size no Offshore"
"1987",1074031.81200931,1124323.98452807,-12225.8119999999,79392.0660331334,55023.73621,1061806.00000931,1179347.72073807,1258739.7867712,2320545.78678051,2241153.72074738
"1988",1030290.31758501,818079.364400507,7571.68200000003,62673.4036673927,46916.82752,1037861.99958501,864996.191920507,927669.5955879,1965531.59517291,1902858.19150551
"1989",1171924.10250571,2209335.33186255,-9940.10199999996,137343.138475338,161655.8727,1161984.00050571,2370991.20456255,2508334.34303789,3670318.3435436,3532975.20506826
"1990",2112957.14251581,5790909.1613151,-20379.1430000002,228726.219627517,189632.0769,2092577.99951581,5980541.2382151,6209267.45784261,8301845.45735842,8073119.2377309
"1991",3599605.60968001,5735476.51367094,-21097.6099999999,356064.478490117,91058.2707,3578507.99968001,5826534.78437094,6182599.26286106,9761107.26254106,9405042.78405095
"1992",1650069.56726,3298453.83442222,-43419.567,275303.227422001,47454.30618,1606650.00026,3345908.14060222,3621211.36802422,5227861.36828423,4952558.14086223
"1993",1535520.17257311,3639667.25791312,137.827000000048,301276.68605825,104385.2484,1535657.99957311,3744052.50631312,4045329.19237137,5580987.19194448,5279710.50588623
"1994",976923.001056505,2381983.90034369,13886.9989,100088.755249823,228887.4504,990809.999956505,2610871.35074369,2710960.10599351,3701770.10595001,3601681.35070019
"1995",1111119.26457391,1978238.93019224,20.7350000001024,111357.262563469,240748.0939,1111139.99957391,2218987.02409224,2330344.2866557,3441484.28622961,3330127.02366615
"1996",1102441.2496086,3411311.36668301,-24343.25,129298.536338355,45658.00557,1078097.9996086,3456969.37225301,3586267.90859137,4664365.90819997,4535067.37186162
"1997",1026523.65667169,565547.261529205,-859.657000000007,137277.066703903,183986.820744,1025663.99967169,749534.082273205,886811.148977108,1912475.1486488,1775198.0819449
"1998",1210551.7129288,967330.7846467,-8379.71299999999,157481.644051817,40431.0555343,1202171.9999288,1007761.840181,1165243.48423282,2367415.48416162,2209933.8401098
"1999",1623315.4360091,2674809.91580499,2048.56400000001,163269.131009659,240228.7117,1625364.0000091,2915038.62750499,3078307.75851465,4703671.75852375,4540402.62751409
"2000",1375255.86484,1505388.0305573,232.135000000009,145663.869362743,946636.8229,1375487.99984,2452024.8534573,2597688.72282005,3973176.72266005,3827512.85329731
"2001",1845960.2108829,1475628.86393286,-15600.2109999999,27170.7133465174,2659550.482995,1830359.9998829,4135179.34692786,4162350.06027438,5992710.06015729,5965539.34681077
"2002",1264170.572401,235435.331675751,-252.571999999927,59452.2305451936,1256256.825,1263918.000401,1491692.15667575,1551144.38722094,2815062.38762195,2755610.15707675
