"","Escapement","District Catches","EscapementObsError","OffshoreCatch","Extra Catches","Total Esc","Total Catch no Offshore","Total Catch","Run Size","Run Size no Offshore"
"2008",2180065.71613602,2069814.35624736,436.283999999985,185134.09451986,270561.0049,2180502.00013602,2340375.36114736,2525509.45566722,4706011.45580324,4520877.36128337
"2009",970227.572909006,1251527.51710828,590.427099999972,65976.2634906911,80838.14843,970818.000009006,1332365.66553828,1398341.92902897,2369159.92903797,2303183.66554728
"2010",1187206.69777901,1376334.4634529,523.301999999909,55241.2475268408,196248.5461,1187729.99977901,1572583.0095529,1627824.25707974,2815554.25685875,2760313.00933191
"2011",883237.024782507,1145344.18964877,556.975300000049,93699.03078726,126464.4508,883794.000082507,1271808.64044877,1365507.67123603,2249301.67131854,2155602.64053128
"2012",861096.800260009,1102253.86091271,650.199799999944,104440.679618924,158985.8585,861747.000060009,1261239.71941271,1365680.39903163,2227427.39909164,2122986.71947272
"2013",1090762.44449005,642602.292483015,5187.55499999993,114610.576942412,77068.33849,1095949.99949005,719670.630973015,834281.207915428,1930231.20740547,1815620.63046306
"2014",200349.089481608,1188820.66190509,150.910499999998,23424.3211545152,208311.3662,200499.999981608,1397132.02810509,1420556.34925961,1621056.34924122,1597632.0280867
"2015",5776303.52482216,2053094.09890967,-5653.52599999961,152795.392401326,267582.8629,5770649.99882216,2320676.96180966,2473472.35421099,8244122.35303316,8091326.96063183
"2016",1775677.61667801,2846418.09064005,142.382999999914,120095.740085341,195991.6471,1775819.99967801,3042409.73774005,3162505.47782539,4938325.4775034,4818229.73741806
"2017",2040051.20311869,1993896.41859469,1772.79700000002,145233.539458339,249361.5282,2041824.00011869,2243257.94679469,2388491.48625303,4430315.48637172,4285081.94691338
"2018",1587508.02938422,1108859.77685414,-6082.0290000001,37920.4398828917,145343.21485,1581426.00038422,1254202.99170414,1292123.43158704,2873549.43197125,2835628.99208836
"2019",821493.35079737,734958.996838328,-1035.35080000001,18595.4026932343,281133.12984,820457.99999737,1016092.12667833,1034687.52937156,1855145.52936893,1836550.1266757
"2020",2385881.40802501,1806128.00300066,636.592000000179,25742.0234671286,342819.9372,2386518.00002501,2148947.94020066,2174689.96366779,4561207.9636928,4535465.94022568
"2021",3235008.49876586,2161279.83841765,1895.50100000016,297315.617438654,428789.0069,3236903.99976586,2590068.84531765,2887384.46275631,6124288.46252217,5826972.84508351
"2022",1667776.76874747,2234159.43194291,445.232000000076,188143.134416332,554549.5934,1668222.00074747,2788709.02534291,2976852.15975924,4645074.16050671,4456931.02609038
"2023",1098899.79035126,1158574.93525729,150.209999999963,38665.098487676,243166.1642,1099050.00035126,1401741.09945729,1440406.19794497,2539456.19829623,2500791.09980856
