"","Escapement","District Catches","EscapementObsError","OffshoreCatch","Extra Catches","Total Esc","Total Catch no Offshore","Total Catch","Run Size","Run Size no Offshore"
"1987",1283937.2930452,4889847.48787033,-10384.2930000001,218649.041181457,3179.91466,1273553.0000452,4893027.40253033,5111676.44371179,6385229.44375699,6166580.40257554
"1988",1614566.5584546,6246444.66699054,-1821.55799999996,255663.308255902,2711.402714,1612745.0004546,6249156.06970454,6504819.37796044,8117564.37841504,7861901.07015914
"1989",1610076.27579858,7805458.91243846,1489.72399999993,381092.714762115,9342.36595,1611565.99979858,7814801.27838846,8195893.99315057,9807459.99294916,9426367.27818704
"1990",2202992.92939309,10050631.2611855,-11410.929,352254.80689614,10959.15805,2191582.00039309,10061590.4192355,10413845.2261317,12605427.2265248,12253172.4196286
"1991",2794570.8767155,6110013.21426527,-7645.87699999986,333269.702711241,5262.411278,2786924.9997155,6115275.62554327,6448545.32825452,9235470.32797002,8902200.62525878
"1992",1986669.1313411,15013843.0834032,-41037.132,928775.119795046,2742.464513,1945631.9993411,15016585.5479162,15945360.6677112,17890992.6670523,16962217.5472573
"1993",1517388.255704,21409649.2887051,-388.256000000052,1317865.97786316,6032.59983,1516999.999704,21415681.8885351,22733547.8663982,24250547.8661022,22932681.8882391
"1994",1911934.5724996,10461934.3796115,-13957.5730000001,365173.309688891,13227.79239,1897976.9994996,10475162.1720015,10840335.4816904,12738312.48119,12373139.1715011
"1995",1274353.37334881,13565852.2085765,-7661.37299999991,528472.088578647,13913.23902,1266692.00034881,13579765.4475965,14108237.5361751,15374929.5365239,14846457.4479453
"1996",1081536.15946708,10996223.0331207,-5076.15899999999,340875.721578347,2638.653267,1076460.00046708,10998861.6863877,11339737.4079661,12416197.4084332,12075321.6868548
"1997",1107096.2230171,6204720.80305931,-3092.223,622818.336567191,579.3713448,1104004.0000171,6205300.17440411,6828118.5109713,7932122.5109884,7309304.17442121
