"","Escapement","District Catches","EscapementObsError","OffshoreCatch","Extra Catches","Total Esc","Total Catch no Offshore","Total Catch","Run Size","Run Size no Offshore"
"1982",1134156.0509172,1387819.01402405,683.949000000022,300316.410018832,0,1134839.9999172,1387819.01402405,1688135.42404288,2822975.42396008,2522659.01394125
"1983",3570129.730977,16905762.5448673,-147.731000000145,1037457.84319183,0,3569981.999977,16905762.5448673,17943220.3880591,21513202.3880361,20475744.5448443
"1984",10685484.22038,12499839.1787343,-194814.220000001,947472.301723951,0,10490670.00038,12499839.1787343,13447311.4804582,23937981.4808382,22990509.1791143
"1985",7212181.73647411,6117768.77282637,-1135.73699999973,719525.019755421,50440.2871,7211045.99947411,6168209.05992637,6887734.0796818,14098780.0791559,13379255.0594005
"1986",1155523.538208,759651.864847317,23798.4620000001,62424.0916668843,11993.65137,1179322.000208,771645.516217317,834069.607884201,2013391.60809221,1950967.51642532
"1987",5909074.76424452,3730758.84593973,156805.236,348135.778467492,180072.7488,6065880.00024452,3910831.59473973,4258967.37320722,10324847.3734517,9976711.59498425
"1988",4088138.6753315,2429323.70748597,-22922.6749999998,220990.181118581,153541.7745,4065216.0003315,2582865.48198597,2803855.66310455,6869071.66343605,6648081.48231747
"1989",8205312.52763492,10865959.3516313,112187.472,774654.647452687,529041.0897,8317499.99963492,11395000.4413313,12169655.088784,20487155.0884189,19712500.4409662
"1990",6857432.28942801,10114480.4938165,112587.71,491142.094373908,620597.0679,6970019.99942801,10735077.5617165,11226219.6560904,18196239.6555184,17705097.5611445
"1991",4185729.2893318,3793694.13212394,37058.7110000001,304356.105421612,298000.7219,4222788.0003318,4091694.85402394,4396050.95944555,8618838.95977736,8314482.85435574
"1992",4513002.0072478,5215960.58214234,212861.992,541255.356836456,155300.7474,4725863.9992478,5371261.32954234,5912516.6863788,10638380.6856266,10097125.3287901
"1993",4024882.71636511,3278296.75720179,283.282999999821,425159.038057968,341615.0903,4025165.99936511,3619911.84750179,4045070.88555976,8070236.88492487,7645077.8468669
"1994",8668486.10811721,11880889.0989281,-312550.107999999,612330.572471014,749065.6799,8355936.00011721,12629954.7788281,13242285.3512991,21598221.3514163,20985890.7789453
"1995",10034971.7572683,16649795.0417666,3748.24000000022,961864.049329635,787881.268,10038719.9972683,17437676.3097666,18399540.3590962,28438260.3563645,27476396.3070349
"1996",1398358.01791621,2757380.8982104,52219.9820000001,119043.067914538,149422.1065,1450577.99991621,2906803.0047104,3025846.07262494,4476424.07254114,4357381.0046266
"1997",1502634.24325261,675302.817740082,1097.75699999998,187793.65151152,27666.753435,1503732.00025261,702969.571175082,890763.222686602,2394495.22293921,2206701.57142769
"1998",2285598.57705401,1139466.38296222,10475.4219999998,247664.812781494,131431.15730129,2296073.99905401,1270897.54026351,1518562.35304501,3814636.35209901,3566971.53931752
"1999",6194933.06183501,6145651.49080254,1980.93800000008,468770.999287058,398097.686433,6196913.99983501,6543749.17723554,7012520.1765226,13209434.1763576,12740663.1770706
"2000",1827901.7762,1412029.649115,-121.776000000071,163831.756005773,172815.64103,1827780.0002,1584845.290145,1748677.04615078,3576457.04635078,3412625.29034501
"2001",1085635.483007,655435.862550174,9712.51699999999,14242.0237379514,175998.24102,1095348.000007,831434.103570174,845676.127308125,1941024.12731513,1926782.10357718
"2002",703894.003865503,94050.3697616289,-10.0039000000106,31634.6933111194,69083.93489,703883.999965503,163134.304651629,194768.997962748,898652.997928252,867018.304617132
"2003",1655959.02454001,127120.944055771,30844.9750000001,36387.0529039019,152853.3727,1686803.99954001,279974.316755771,316361.369659673,2003165.36919968,1966778.31629578
"2004",5524952.29786038,2074109.08434659,-24818.2970000003,247203.099446005,272628.56306,5500134.00086038,2346737.64740659,2593940.7468526,8094074.74771298,7846871.64826697
"2005",2314993.87505601,201846.292959897,5338.125,74843.3600688267,271878.28682,2320332.00005601,473724.579779897,548567.939848724,2868899.93990473,2794056.5798359
"2006",3062878.96424251,2324882.64955035,5347.03500000015,128052.233948075,197059.54057,3068225.99924251,2521942.19012035,2649994.42406843,5718220.42331093,5590168.18936286
"2007",2799256.07185801,2224048.4030629,10951.9279999998,204148.180918326,684316.5521,2810207.99985801,2908364.9551629,3112513.13608123,5922721.13593924,5718572.95502091
"2008",2756425.82366201,2692039.95855015,1486.17700000014,240708.693465081,345052.7289,2757912.00066201,3037092.68745015,3277801.38091523,6035713.38157724,5795004.68811216
"2009",2257623.07982401,3884785.501292,8516.91999999993,186338.632337782,628456.3253,2266139.99982401,4513241.826592,4699580.45892978,6965720.45875378,6779381.826416
"2010",4203205.46000002,5766779.23477502,4204.53899999987,219012.29374541,590298.5801,4207409.99900002,6357077.81487502,6576090.10862043,10783500.1076204,10564487.813875
"2011",2257387.56732501,4281586.78962743,6964.43300000019,310653.790919397,380394.0831,2264352.00032501,4661980.87272743,4972634.66364683,7236986.66397184,6926332.87305245
"2012",4142260.19615831,7031968.1800717,22183.8029999998,606574.592281786,478215.6523,4164443.99915831,7510183.8323717,8116758.42465348,12281202.4238118,11674627.83153
"2013",2113991.98507426,3625917.22900631,-25415.9849999999,387754.609944321,231814.8678,2088576.00007427,3857732.09680631,4245486.70675063,6334062.70682489,5946308.09688057
"2014",4463572.5539072,12242649.236998,-5032.55399999954,276381.4102066,626582.4951,4458539.9999072,12869231.732098,13145613.1423046,17604153.1422118,17327771.7320052
"2015",7496755.71287973,14568245.0152997,-155143.713,436256.685057671,763320.9436,7341611.99987973,15331565.9588997,15767822.6439574,23109434.6438371,22673177.9587795
"2016",4455102.68691501,8655379.10609609,7625.31300000008,346539.658335515,737382.1972,4462727.99991501,9392761.30329609,9739300.96163161,14202028.9615466,13855489.3032111
"2017",3160444.03495058,3298824.07237891,2959.96499999985,235638.997651662,555549.6115,3163403.99995058,3854373.68387891,4090012.68153057,7253416.68148115,7017777.68382949
"2018",4026916.85943786,2002556.72063706,371791.14,89001.3378656462,742098.9519,4398707.99943786,2744655.67253707,2833657.01040271,7232365.00984057,7143363.67197492
"2019",2330461.29826415,4220256.62922319,40780.702,79472.1716444767,1223861.537985,2371242.00026415,5444118.16720819,5523590.33885266,7894832.33911682,7815360.16747234
