"","Escapement","District Catches","EscapementObsError","OffshoreCatch","Extra Catches","Total Esc","Total Catch no Offshore","Total Catch","Run Size","Run Size no Offshore"
"1981",1118873.00101901,2479453.56977001,-0.000999999931082129,284338.404654189,0,1118873.00001901,2479453.56977001,2763791.9744242,3882664.97444321,3598326.56978902
"1982",663771.354317168,2984248.614213,808.44570000004,434405.667115769,0,664579.800017168,2984248.614213,3418654.28132877,4083234.08134594,3648828.41423017
"1983",447594.826425003,1610444.74626604,-749.82640000002,104275.274885642,0,446845.000025003,1610444.74626604,1714720.02115168,2161565.02117669,2057289.74629104
"1984",651463.687440008,632983.392735172,4275.51249999995,52489.1549134367,0,655739.199940008,632983.392735172,685472.547648608,1341211.74758862,1288722.59267518
"1985",551225.082258003,393693.700444081,94.1178000000073,51004.8934635255,0,551319.200058003,393693.700444081,444698.593907607,996017.79396561,945012.900502084
"1986",1088509.92926977,1210300.35788841,6731.071,74928.4602710195,0,1095241.00026977,1210300.35788841,1285228.81815943,2380469.8184292,2305541.35815818
"1987",429347.038480992,903803.831029394,-165.438500000047,48145.8015313132,0,429181.599980992,903803.831029394,951949.632560707,1381131.2325417,1332985.43101039
"1988",534409.6164141,521282.1133947,50.2835999999661,35795.758057164,0,534459.9000141,521282.1133947,557077.871451864,1091537.77146596,1055742.0134088
"1989",563523.187365,576723.409637,4340.11270000006,46315.596099196,0,567863.300065,576723.409637,623039.005736196,1190902.3058012,1144586.709702
"1990",754398.3958314,1001535.345979,-1885.29580000008,50814.1295939807,0,752513.1000314,1001535.345979,1052349.47557298,1804862.57560438,1754048.4460104
"1991",572063.818552001,1024465.512333,-27315.6186,60895.809598248,0,544748.199952001,1024465.512333,1085361.32193125,1630109.52188325,1569213.712285
"1992",779620.753234002,1021650.680582,-10804.6532000001,100210.870769324,0,768816.100034002,1021650.680582,1121861.55135133,1890677.65138533,1790466.78061601
"1993",790679.5692112,1648893.3668259,247.430799999973,142021.223253893,0,790927.0000112,1648893.3668259,1790914.59007979,2581841.59009099,2439820.3668371
"1994",579939.1503696,831476.00879327,-16605.0504000001,42057.3688299772,0,563334.0999696,831476.00879327,873533.377623247,1436867.47759285,1394810.10876287
"1995",311009.5678298,471975.825651905,126.732099999965,28223.0497537427,0,311136.2999298,471975.825651905,500198.875405648,811335.175335448,783112.125581705
"1996",564125.211444,1021363.437642,-7067.91139999998,45417.0574189808,0,557057.300044,1021363.437642,1066780.49506098,1623837.79510498,1578420.737686
"1997",411785.080182702,340939.061040531,805.919799999974,64903.9945114729,0,412590.999982702,340939.061040531,405843.055552004,818434.055534706,753530.061023234
"1998",507243.273463705,418093.803952603,289.026499999978,66910.6824760973,0,507532.299963705,418093.803952603,485004.4864287,992536.786392405,925626.103916308
"1999",344974.937839001,90513.9178233004,-2.63780000002589,16542.5345269312,0,344972.300039001,90513.9178233004,107056.452350232,452028.752389232,435486.217862301
"2000",446585.783726,836047.873382,-299.283700000029,64858.2012350091,0,446286.500026,836047.873382,900906.074617009,1347192.57464301,1282334.373408
"2001",896386.360521001,1180636.263061,725.839399999939,16990.1167895405,0,897112.199921001,1180636.263061,1197626.37985054,2094738.57977155,2077748.46298201
"2002",349102.445212001,316877.311337,52.8547999999719,26402.92487242,0,349155.300012001,316877.311337,343280.23620942,692435.536221421,666032.611349001
